"cityId","city","zip_code"
"33","Nagybaracska","6527"
"66","Nemesnádudvar","6345"
"100","Nyárlőrinc","6032"
"15","Ónod","3551"
"48","őr","4336"
"82","Oszlár","3591"
"116","Páhi","6075"
"30","Pálmonostora","6112"
"63","Petőfiszállás","6113"
"97","Pirtó","6414"
"12","Rém","6446"
"45","Sokorópátka","9112"
"79","Solt","6320"
"113","Soltszentimre","6223"
"27","Sümeg","8330"
"60","Szabadszállás","6080"
"94","Szakmár","6336"
"9","Szalkszentmárton","6086"
"42","Szank","6131"
"75","Szentkirály","6031"
"109","Szeremle","6512"
"23","Tabdi","6224"
"56","Tass","6098"
"90","Tataháza","6451"
"5","Tázlár","6236"
"38","Tiszaalpár","6066"
"38","Tiszaalpár","6067"
"71","Tiszakécske","6062"
"71","Tiszakécske","6060"
"105","Tiszaug","6064"
"19","Töltéstava","9086"
"52","Újsolt","6320"
"86","Újtelek","6337"
"120","Úrkút","8409"
"34","Városföld","6033"
"67","Vaskút","6521"
"101","Zsana","6411"
"158","Abaliget","7678"
"244","Adorjás","7841"
"329","Ág","7381"
"414","Almamellék","7934"
"196","Almáskeresztúr","7932"
"282","Alsómocsolád","7345"
"367","Alsószentmárton","7826"
"148","Apátvarasd","7720"
"234","Aranyosgadány","7671"
"319","Áta","7763"
"404","Babarc","7757"
"186","Babarcszőlős","7814"
"272","Bakóca","7393"
"357","Bakonya","7675"
"138","Baksa","7834"
"224","Bánfa","7914"
"309","Bár","7711"
"394","Baranyahidvég","7841"
"176","Baranyajenő","7384"
"262","Baranyaszentgyörgy","7383"
"347","Basal","7923"
"129","Belvárdgyula","7747"
"215","Beremend","7827"
"301","Berkesd","7664"
"386","Besence","7838"
"168","Bezedek","7782"
"254","Bicsérd","7671"
"339","Bikal","7346"
"424","Birján","7747"
"206","Bisse","7811"
"292","Bocska","8776"
"377","Bodajk","8053"
"159","Bódvalenke","3768"
"245","Bódvarákó","3764"
"330","Bódvaszilas","3763"
"415","Bogyoszló","9324"
"197","Bokor","3066"
"283","Bolhó","7586"
"368","Borsfa","8885"
"149","Borsodgeszt","3426"
"235","Bükkszék","3335"
"320","Büssü","7273"
"405","Csányoszró","7964"
"187","Csarnóta","7811"
"273","Csebény","7935"
"358","Cserdi","7683"
"139","Cserkút","7673"
"225","Csertő","7900"
"310","Csombárd","7432"
"395","Cún","7843"
"177","Dencsháza","7915"
"263","Dinnyeberki","7683"
"348","Diósviszló","7817"
"121","Drávacsehi","7849"
"207","Drávacsepely","7846"
"293","Drávafok","7967"
"378","Drávaiványi","7960"
"160","Drávakeresztúr","7967"
"246","Drávapalkonya","7850"
"331","Drávapiski","7843"
"416","Drávaszabolcs","7851"
"198","Drávaszerdahely","7847"
"284","Drávasztára","7960"
"369","Dunaszekcső","7712"
"150","Egerág","7763"
"236","Egyházasharaszti","7824"
"321","Egyházaskozár","7347"
"406","Ellend","7744"
"188","Endrőc","7973"
"274","Erdősmárok","7735"
"359","Erdősmecske","7723"
"140","Erzsébet","7661"
"226","Fazekasboda","7732"
"311","Feked","7724"
"396","Felsőegerszeg","7370"
"178","Felsőszentmárton","7968"
"264","Garé","7812"
"349","Gerde","7951"
"130","Gerényes","7362"
"216","Geresdlak","7733"
"302","Gilvánfa","7954"
"387","Gógánfa","8346"
"169","Gömörszőlős","3728"
"255","Gönc","3895"
"340","Gordisa","7853"
"122","Görgeteg","7553"
"208","Gyód","7668"
"294","Gyöngyös","3221"
"379","Gyöngyösoroszi","3211"
"161","Harkány","7815"
"247","Hásságy","7745"
"332","Hegyhátmaróc","7348"
"417","Hegyszentmárton","7837"
"199","Helesfa","7683"
"285","Hetvehely","7681"
"370","Hidas","7696"
"151","Himesháza","7735"
"237","Hirics","7838"
"322","Hobol","7971"
"407","Homokszentgyörgy","7537"
"189","Hortobágy","4071"
"275","Horvátzsidány","9733"
"360","Husztót","7678"
"141","Ibafa","7935"
"227","Illocska","7775"
"312","Ipacsfa","7847"
"397","Ivánbattyán","7772"
"179","Ivándárda","7781"
"265","Kacsóta","7940"
"350","Kákics","7958"
"131","Kárász","7333"
"217","Kásád","7827"
"303","Katádfa","7914"
"388","Kátoly","7661"
"170","Kékesd","7661"
"256","Kémes","7843"
"341","Kemse","7839"
"123","Keszü","7668"
"209","Kétújfalu","7975"
"295","Királyegyháza","7953"
"380","Kisasszonyfa","7954"
"162","Kisbeszterce","7391"
"248","Kisbudmér","7756"
"333","Kisdér","7814"
"418","Kisdobsza","7985"
"200","Kishajmás","7391"
"286","Kisharsány","7800"
"371","Kisherend","7763"
"152","Kisjakabfalva","7773"
"238","Kiskassa","7766"
"323","Kislippó","7775"
"408","Kisnyárád","7759"
"190","Kisszentmárton","7841"
"276","Kistamási","7981"
"361","Kistapolca","7823"
"142","Kistótfalu","7768"
"228","Kisvaszar","7381"
"313","Kölked","7717"
"398","Kolontár","8468"
"180","Kömpöc","6134"
"266","Kondoros","5553"
"351","Kóny","9144"
"132","Koppányszántó","7094"
"218","Körmend","9909"
"304","Környe","2851"
"389","Kőröshegy","8617"
"171","Köveskál","8274"
"257","Kozárd","3053"
"342","Lánycsók","7759"
"124","Lapáncsa","7775"
"210","Liget","7331"
"296","Lippó","7781"
"381","Liptód","7757"
"163","Lórév","2309"
"249","Lőrinci","3021"
"334","Lúzsok","7838"
"419","Mágocs","7342"
"201","Magyarbóly","7775"
"287","Magyaregregy","7332"
"372","Magyarhertelend","7394"
"153","Magyarlukafa","7925"
"239","Magyarmecske","7954"
"324","Magyarsarlós","7761"
"409","Magyarszék","7396"
"191","Magyartelek","7954"
"277","Majs","7783"
"362","Mánfa","7304"
"143","Maráza","7733"
"229","Márfa","7817"
"314","Máriakéménd","7663"
"399","Markóc","7967"
"181","Marócsa","7960"
"267","Márok","7774"
"352","Martonfa","7720"
"133","Mátyásdomb","8134"
"219","Máza","7351"
"305","Mecseknádasd","7695"
"390","Mecsekpölöske","7300"
"172","Mekényes","7344"
"258","Merenye","7981"
"343","Meződ","7370"
"125","Mindszentgodisa","7391"
"211","Moha","8042"
"297","Mohács","7715"
"297","Mohács","7714"
"382","Molnaszecsőd","9912"
"164","Monoszló","8273"
"250","Mosonszolnok","9245"
"335","Nagybudmér","7756"
"420","Nagycsány","7838"
"202","Nagydobsza","7985"
"288","Nagyhajmás","7343"
"373","Nagyharsány","7822"
"154","Nagykőrös","2750"
"240","Nagynyárád","7784"
"325","Nagypall","7731"
"410","Nagypeterd","7912"
"192","Nagytőke","6612"
"278","Nagyváty","7912"
"363","Nemeske","7981"
"144","Nyugotszenterzsébet","7912"
"230","Óbánya","7695"
"315","Ócsa","2364"
"400","Ócsárd","7814"
"182","Óföldeák","6923"
"268","Óhid","8342"
"353","Okány","5534"
"134","Olaszfalu","8414"
"220","Ópusztaszer","6767"
"306","Orfő","7677"
"391","Orosztony","8744"
"173","Palé","7370"
"259","Palkonya","7771"
"344","Palotabozsok","7727"
"126","Páprád","7838"
"212","Patapoklosi","7923"
"298","Pécs","7693"
"298","Pécs","7691"
"298","Pécs","7600"
"298","Pécs","7621"
"298","Pécs","7622"
"298","Pécs","7623"
"298","Pécs","7624"
"298","Pécs","7625"
"298","Pécs","7626"
"298","Pécs","7627"
"298","Pécs","7628"
"298","Pécs","7629"
"298","Pécs","7630"
"298","Pécs","7631"
"298","Pécs","7632"
"298","Pécs","7633"
"298","Pécs","7634"
"298","Pécs","7635"
"298","Pécs","7636"
"383","Pécsbagota","7951"
"165","Pécsdevecser","7766"
"251","Pécsudvard","7762"
"336","Pécsvárad","7720"
"421","Pellérd","7831"
"203","Pereked","7664"
"289","Peterd","7766"
"374","Pettend","7980"
"155","Piskó","7838"
"241","Pócsa","7756"
"326","Pogány","7666"
"411","Rádfalva","7817"
"193","Regenye","7833"
"279","Romhány","2654"
"364","Romonya","7743"
"145","Sámod","7841"
"231","Sárok","7781"
"316","Sásd","7370"
"401","Sátorhely","7785"
"183","Sellye","7960"
"269","Siklós","7818"
